 num_wann=          18 num_Kpathpoints=         138
  0.00000000E+00 -0.94184958E+01  0.98074211E-01  0.98028876E-01  0.98089427E-01  0.33205464E-02  0.33133264E-02  0.33134475E-02  0.65284401E-01  0.65269847E-01  0.65305921E-01  0.65307314E-01  0.65271240E-01  0.65285795E-01  0.33129653E-02  0.33128448E-02  0.33200641E-02  0.98088515E-01  0.98027962E-01  0.98073298E-01
  0.98000987E-02 -0.94467366E+01  0.55822291E-01  0.55802297E-01  0.55832914E-01  0.55240154E-01  0.55230194E-01  0.55243924E-01  0.55610702E-01  0.55598260E-01  0.55619258E-01  0.55619255E-01  0.55598269E-01  0.55610702E-01  0.55243941E-01  0.55230203E-01  0.55240157E-01  0.55832923E-01  0.55802270E-01  0.55822287E-01
  0.19600197E-01 -0.94745871E+01  0.55687492E-01  0.55669083E-01  0.55697381E-01  0.55405414E-01  0.55395973E-01  0.55409110E-01  0.55579667E-01  0.55568147E-01  0.55587723E-01  0.55587716E-01  0.55568152E-01  0.55579663E-01  0.55409130E-01  0.55395984E-01  0.55405419E-01  0.55697393E-01  0.55669061E-01  0.55687492E-01
  0.29400296E-01 -0.95018717E+01  0.55639793E-01  0.55623341E-01  0.55648742E-01  0.55463303E-01  0.55454614E-01  0.55466804E-01  0.55568785E-01  0.55558428E-01  0.55576179E-01  0.55576170E-01  0.55558431E-01  0.55568780E-01  0.55466824E-01  0.55454626E-01  0.55463309E-01  0.55648756E-01  0.55623320E-01  0.55639794E-01
  0.39200395E-01 -0.95285901E+01  0.55613921E-01  0.55599731E-01  0.55621759E-01  0.55494054E-01  0.55486320E-01  0.55497257E-01  0.55563124E-01  0.55554121E-01  0.55569701E-01  0.55569692E-01  0.55554123E-01  0.55563118E-01  0.55497278E-01  0.55486332E-01  0.55494061E-01  0.55621773E-01  0.55599712E-01  0.55613923E-01
  0.49000493E-01 -0.95547425E+01  0.55596901E-01  0.55585171E-01  0.55603497E-01  0.55513652E-01  0.55507039E-01  0.55516463E-01  0.55559711E-01  0.55552201E-01  0.55565348E-01  0.55565339E-01  0.55552203E-01  0.55559705E-01  0.55516485E-01  0.55507053E-01  0.55513660E-01  0.55603511E-01  0.55585155E-01  0.55596906E-01
  0.58800592E-01 -0.95803289E+01  0.55584473E-01  0.55575286E-01  0.55589735E-01  0.55527387E-01  0.55522026E-01  0.55529719E-01  0.55557561E-01  0.55551628E-01  0.55562169E-01  0.55562160E-01  0.55551628E-01  0.55557554E-01  0.55529741E-01  0.55522040E-01  0.55527394E-01  0.55589749E-01  0.55575271E-01  0.55584479E-01
  0.68600691E-01 -0.96053495E+01  0.55574854E-01  0.55568179E-01  0.55578736E-01  0.55537504E-01  0.55533487E-01  0.55539282E-01  0.55556245E-01  0.55551920E-01  0.55559775E-01  0.55559766E-01  0.55551920E-01  0.55556238E-01  0.55539304E-01  0.55533502E-01  0.55537512E-01  0.55578750E-01  0.55568166E-01  0.55574861E-01
  0.78400789E-01 -0.96298045E+01  0.55567187E-01  0.55562888E-01  0.55569682E-01  0.55545121E-01  0.55542501E-01  0.55546282E-01  0.55555538E-01  0.55552803E-01  0.55557976E-01  0.55557968E-01  0.55552802E-01  0.55555531E-01  0.55546305E-01  0.55542517E-01  0.55545130E-01  0.55569697E-01  0.55562877E-01  0.55567196E-01
  0.88200888E-01 -0.96536942E+01  0.55561015E-01  0.55558861E-01  0.55562156E-01  0.55550867E-01  0.55549655E-01  0.55551362E-01  0.55555301E-01  0.55554090E-01  0.55556671E-01  0.55556662E-01  0.55554089E-01  0.55555293E-01  0.55551385E-01  0.55549672E-01  0.55550876E-01  0.55562170E-01  0.55558851E-01  0.55561025E-01
