  0.00000000E+00 -0.66839223E+01  0.22330705E-03
  0.14233010E-01 -0.66828696E+01  0.22467225E-03
  0.28466020E-01 -0.66797138E+01  0.22878338E-03
  0.42699029E-01 -0.66744611E+01  0.23568814E-03
  0.56932039E-01 -0.66671223E+01  0.24547010E-03
  0.71165049E-01 -0.66577127E+01  0.25825505E-03
  0.85398059E-01 -0.66462522E+01  0.27422006E-03
  0.99631069E-01 -0.66327661E+01  0.29360575E-03
  0.11386408E+00 -0.66172848E+01  0.31673224E-03
  0.12809709E+00 -0.65998448E+01  0.34401959E-03
  0.14233010E+00 -0.65804887E+01  0.37601377E-03
  0.15656311E+00 -0.65592661E+01  0.41341991E-03
  0.17079612E+00 -0.65362338E+01  0.45714486E-03
  0.18502913E+00 -0.65114568E+01  0.50835216E-03
  0.19926214E+00 -0.64850087E+01  0.56853354E-03
  0.21349515E+00 -0.64569728E+01  0.63960240E-03
  0.22772816E+00 -0.64274426E+01  0.72401677E-03
  0.24196117E+00 -0.63965236E+01  0.82494157E-03
  0.25619418E+00 -0.63643342E+01  0.94646280E-03
  0.27042719E+00 -0.63310077E+01  0.10938700E-02
  0.28466020E+00 -0.62966943E+01  0.12740264E-02
  0.29889321E+00 -0.62615639E+01  0.14958484E-02
  0.31312622E+00 -0.62258094E+01  0.17709142E-02
  0.32735923E+00 -0.61896505E+01  0.21142104E-02
  0.34159224E+00 -0.61533392E+01  0.25449945E-02
  0.35582525E+00 -0.61171642E+01  0.30876860E-02
  0.37005826E+00 -0.60814576E+01  0.37725752E-02
  0.38429127E+00 -0.60465996E+01  0.46359340E-02
  0.39852428E+00 -0.60130222E+01  0.57188322E-02
  0.41275728E+00 -0.59812088E+01  0.70636938E-02
  0.42699029E+00 -0.59516864E+01  0.87076035E-02
  0.44122330E+00 -0.59250083E+01  0.10672048E-01
  0.45545631E+00 -0.59017254E+01  0.12950508E-01
  0.46968932E+00 -0.58823458E+01  0.15497857E-01
  0.48392233E+00 -0.58672911E+01  0.18227222E-01
  0.49815534E+00 -0.58568557E+01  0.21018593E-01
  0.51238835E+00 -0.58511828E+01  0.23738396E-01
  0.52662136E+00 -0.58502588E+01  0.26263387E-01
  0.54085437E+00 -0.58539295E+01  0.28500152E-01
  0.55508738E+00 -0.58619286E+01  0.30394472E-01
  0.56932039E+00 -0.58739122E+01  0.31930202E-01
