 num_wann=          22 num_Kpathpoints=         219
  0.00000000E+00 -0.65818309E+01  0.38949360E-03  0.20282790E-10  0.37807253E-05  0.60756261E-02  0.31751011E-09  0.58234194E-03  0.39963666E-10  0.67180070E-02  0.27412551E-02  0.67802599E-09  0.18462026E-01  0.19946798E-01  0.15780393E-08  0.39659631E+00  0.17929863E-01  0.17409780E-08  0.34513965E+00  0.73361743E-02  0.20784597E-09  0.22602701E-04  0.17805597E+00  0.10454611E-06
  0.14233010E-01 -0.65810131E+01  0.39139681E-03  0.19106126E-10  0.43059216E-05  0.60788843E-02  0.30310415E-09  0.58380126E-03  0.39000362E-10  0.67130160E-02  0.27497609E-02  0.64833442E-09  0.18453540E-01  0.19994112E-01  0.15026561E-08  0.39640007E+00  0.17964137E-01  0.16557508E-08  0.34499301E+00  0.73742050E-02  0.19781015E-09  0.22755816E-04  0.17827691E+00  0.99746591E-07
  0.28466020E-01 -0.65785612E+01  0.39711008E-03  0.15887042E-10  0.58869201E-05  0.60886728E-02  0.26268484E-09  0.58820381E-03  0.35917600E-10  0.66980980E-02  0.27753984E-02  0.56407999E-09  0.18428103E-01  0.20136224E-01  0.12900496E-08  0.39581251E+00  0.18067065E-01  0.14162688E-08  0.34455362E+00  0.74880749E-02  0.16972815E-09  0.23211530E-04  0.17893774E+00  0.86224492E-07
  0.42699029E-01 -0.65744804E+01  0.40664559E-03  0.11487436E-10  0.85396460E-05  0.61050412E-02  0.20341643E-09  0.59562393E-03  0.30479097E-10  0.66734250E-02  0.28185294E-02  0.43950786E-09  0.18385795E-01  0.20373653E-01  0.98192032E-09  0.39483705E+00  0.18238963E-01  0.10713421E-08  0.34382299E+00  0.76771216E-02  0.12917450E-09  0.23959258E-04  0.18003259E+00  0.66472331E-07
  0.56932039E-01 -0.65687787E+01  0.42002873E-03  0.69972592E-11  0.12289643E-04  0.61281057E-02  0.13581859E-09  0.60618821E-03  0.22763976E-10  0.66393169E-02  0.28797609E-02  0.29608221E-09  0.18326833E-01  0.20707321E-01  0.63807918E-09  0.39347916E+00  0.18480398E-01  0.69001695E-09  0.34280351E+00  0.79402763E-02  0.84085924E-10  0.24982658E-04  0.18155179E+00  0.44126630E-07
  0.71165049E-01 -0.65614662E+01  0.43730610E-03  0.33593435E-11  0.17170759E-04  0.61580980E-02  0.72008929E-10  0.62007996E-03  0.13648732E-10  0.65962884E-02  0.29599528E-02  0.15926980E-09  0.18251686E-01  0.21138640E-01  0.32415872E-09  0.39174605E+00  0.18792245E-01  0.34629358E-09  0.34149807E+00  0.82761194E-02  0.43065044E-10  0.26261481E-04  0.18348200E+00  0.23291796E-07
  0.85398059E-01 -0.65525543E+01  0.45855701E-03  0.10776647E-11  0.23223668E-04  0.61954302E-02  0.23794183E-10  0.63754605E-03  0.51231797E-11  0.65451036E-02  0.30602323E-02  0.54516897E-10  0.18161218E-01  0.21669639E-01  0.98653237E-10  0.38964621E+00  0.19175770E-01  0.10350412E-09  0.33990982E+00  0.86829631E-02  0.13582947E-10  0.27773964E-04  0.18580651E+00  0.77776891E-08
  0.99631069E-01 -0.65420552E+01  0.48390904E-03  0.12377921E-12  0.30494535E-04  0.62407722E-02  0.94813040E-12  0.65890686E-03  0.23725641E-12  0.64868321E-02  0.31820185E-02  0.29364780E-11  0.18056840E-01  0.22303134E-01  0.21192934E-11  0.38718887E+00  0.19632745E-01  0.20689545E-11  0.33804163E+00  0.91589666E-02  0.48226268E-12  0.29499600E-04  0.18850538E+00  0.39311843E-09
  0.11386408E+00 -0.65299806E+01  0.51355819E-03  0.72961522E-13  0.39034194E-04  0.62951384E-02  0.99020910E-11  0.68457023E-03  0.25828776E-11  0.64228994E-02  0.33270605E-02  0.17361839E-10  0.17940657E-01  0.23042938E-01  0.50625205E-10  0.38438335E+00  0.20165589E-01  0.53190322E-10  0.33589567E+00  0.97022864E-02  0.50999342E-11  0.31422106E-04  0.19155582E+00  0.24269181E-08
  0.12809709E+00 -0.65163413E+01  0.54779414E-03  0.40353798E-12  0.48898177E-04  0.63599791E-02  0.52923635E-10  0.71505046E-03  0.15368910E-10  0.63551224E-02  0.34974944E-02  0.99484372E-10  0.17815597E-01  0.23894133E-01  0.23433597E-09  0.38123840E+00  0.20777542E-01  0.23927408E-09  0.33347282E+00  0.10311267E-01  0.25174355E-10  0.33532410E-04  0.19493236E+00  0.13413154E-07
